Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.9,0.0,0.0,-0.0,0.0,0.0
0.020,-6.1,-7.5,-7.8,-7.4,-8.3,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.030,-6.1,-7.5,-7.7,-7.4,-8.3,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,-0.0,-0.0,-0.0
0.040,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,-0.0,0.0,0.0,0.0,0.0
0.050,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,-0.0,-0.0
0.060,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,0.0,-0.0,-0.0,-0.0,0.0
0.070,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,0.0,0.0,0.0,-0.0
0.080,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,-0.0,-0.0
0.090,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.7,-5.4,-5.1,-4.9,0.0,0.0,-0.0,-0.0,-0.0
0.100,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.9,-0.0,-0.0,0.0,0.0,-0.0
0.110,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,-0.0,-0.0,-0.0
0.120,-6.2,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,0.0,0.0,-0.0,-0.0,0.0
0.130,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.9,-0.0,-0.0,0.0,0.0,0.0
0.140,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,-0.0,-0.0,-0.0,0.0
0.150,-6.1,-7.6,-7.8,-7.4,-8.4,-6.8,-6.0,-5.7,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,0.0,0.0
0.160,-6.1,-7.5,-7.8,-7.4,-8.4,-6.6,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,0.0,-0.0
0.170,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,-0.0,-0.0,-0.0,0.0
0.180,-6.1,-7.5,-7.7,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,0.0,0.0,-0.0,0.0,0.0
0.190,-6.1,-7.5,-7.7,-7.4,-8.3,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,-0.0,-0.0,0.0,0.0,-0.0
0.200,-6.1,-7.5,-7.8,-7.4,-8.3,-6.8,-6.0,-5.6,-5.4,-5.2,-4.9,0.0,-0.0,-0.0,-0.0,0.0
0.210,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.1,-4.8,0.0,0.0,0.0,-0.0,0.0
0.220,-6.1,-7.5,-7.8,-7.4,-8.4,-6.8,-6.0,-5.6,-5.4,-5.2,-4.8,-0.0,-0.0,0.0,-0.0,-0.0
