Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.01,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.02,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.03,-3.8,-3.2,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.04,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.05,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.06,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.07,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.08,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0.1,0,0
0.09,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.1,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.4,-3.2,-3,0,0,0,0,0
0.11,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.12,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.13,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.14,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.15,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.16,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,-0.1,0,0,0
0.17,-3.8,-3.6,-3.7,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0.1,0,0
0.18,-3.8,-3.6,-3.7,-3.5,-4,-3.7,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.19,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,-0.1,0,0
0.2,-3.8,-3.6,-3.8,-3.6,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.21,-3.8,-3.6,-3.7,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.22,-3.8,-3.7,-3.7,-3.5,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.23,-3.8,-3.6,-3.8,-3.5,-4.1,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.24,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.25,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0.1,0,0,0,0
0.26,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-2.8,0,0,0,0,0
0.27,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3,0,0,0,0,0
0.28,-3.8,-3.6,-3.8,-3.6,-3.7,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.29,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.7,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.3,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.31,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,0,0
0.32,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3,0,0,0,-0.1,0
0.33,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.34,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.35,-3.8,-3.6,-3.8,-3.6,-4,-3.6,-3.6,-3.5,-3.3,-3.2,-3.1,0,0,0,0,0
0.36,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
0.37,-3.8,-3.6,-3.8,-3.5,-4,-3.6,-3.6,-3.4,-3.3,-3.2,-3.1,0,0,0,0,0
