Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.01,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.02,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.03,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.04,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.05,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.06,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.07,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-3.9,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.08,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.09,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.1,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.11,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.12,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.13,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.14,-4.1,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-2.9,0,0,0,0,0
0.15,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.16,-4,-5.6,-5.4,-4.6,-4.8,-4,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.17,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-3.9,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.18,-4,-5.5,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.19,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-3.9,-3.7,-3.5,-3.2,-3,0,0,0,0,0
0.2,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0.1,0,0
0.21,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.22,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.5,-3.2,-3,0,0,0,0,0.1
0.23,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-3.7,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.24,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.25,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.26,-4,-5.7,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.5,-3.2,-3,0,0,0,0,0
0.27,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.28,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.29,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.3,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.31,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.32,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.33,-4,-5.5,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,-0.1,0,0,0
0.34,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.35,-4,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.1,-3.1,-3,0,0,0,0,0
0.36,-4,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.37,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.38,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.7,-3.4,-3.2,-3,0,0,0,0,0
0.39,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.4,-3.9,-5.5,-5.4,-4.6,-4.8,-4.1,-4,-3.7,-3.4,-3,-3,0,0,0,0,0
0.41,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.42,-3.9,-5.6,-5.4,-4.6,-4.9,-4.2,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.43,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.5,-3.2,-3,0,0,0,0,0
0.44,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.45,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.46,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.5,-3.2,-3,0,0,0,0,0
0.47,-3.9,-5.6,-5.4,-4.6,-4.9,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.48,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.49,-4,-5.7,-5.4,-4.6,-4.9,-4.1,-3.9,-3.6,-3.5,-3.2,-3,0,0,0,0,0
0.5,-3.9,-5.6,-5.4,-4.6,-4.9,-3.8,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
0.51,-3.9,-5.6,-5.4,-4.6,-4.8,-4.1,-4,-3.6,-3.4,-3.2,-3,0,0,0,0,0
