Time(Sec(s)),CH1 psi,CH2 psi,CH3 psi,CH4 psi,CH5 psi,CH6 psi,CH7 psi,CH8 psi,CH9 psi,CH10 psi,CH11 psi,CH12 psi,CH13 psi,CH14 psi,CH15 psi,CH16 psi
0.010,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,-0.0,0.0,0.0,-0.0,-0.1
0.020,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,-0.0,0.0
0.030,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,0.0,-0.0,-0.0,0.0,0.0
0.040,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,-0.0,0.0,0.0,-0.0,-0.0
0.050,-0.8,-0.7,-0.8,-0.7,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.6,0.0,-0.0,0.0,0.0,0.0
0.060,-0.8,-0.7,-0.7,-0.7,-0.8,-0.6,-0.7,-0.7,-0.7,-0.7,-0.6,0.0,0.0,-0.0,0.0,0.0
0.070,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,0.0,0.0,0.0,-0.0,0.0
0.080,-0.9,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,-0.0
0.090,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.0
0.100,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,0.0,0.0,0.0,-0.0,-0.0
0.110,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,0.0,-0.0,0.0,0.0,0.0
0.120,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,-0.0,0.0,0.1
0.130,-0.8,-0.7,-0.7,-0.7,-0.9,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0.0,0.0,0.0,-0.0,-0.0
0.140,-0.8,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,0.0,-0.0,-0.0,0.0,0.0
0.150,-0.8,-0.8,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.0,0.0,0.0,-0.0,-0.0
0.160,-0.8,-0.7,-0.7,-0.7,-0.9,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0.0,-0.0,0.0,0.0,0.0
0.170,-0.9,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,0.0,-0.1,-0.0,0.0,0.0
